City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Bermeo,43.4209,-2.7215,48.0,100,20,2.3,ES,2021-01-18 01:15:29,few clouds
1,Avarua,-21.2078,-159.775,86.0,62,100,8.05,CK,2021-01-18 01:15:29,overcast clouds
2,Muhororo,0.9381,30.7594,63.46,56,82,1.61,UG,2021-01-18 01:15:29,broken clouds
3,Qaanaaq,77.484,-69.3632,-3.05,74,0,6.13,GL,2021-01-18 01:15:29,clear sky
4,La Pintada,5.7487,-75.6063,60.8,100,75,2.3,CO,2021-01-18 01:15:29,broken clouds
5,Rikitea,-23.1203,-134.9692,78.93,74,0,12.19,PF,2021-01-18 01:15:29,clear sky
6,Yellowknife,62.456,-114.3525,1.4,85,90,8.05,CA,2021-01-18 01:15:29,light snow
7,New Norfolk,-42.7826,147.0587,64.99,70,100,4.0,AU,2021-01-18 01:15:30,overcast clouds
8,Mataura,-46.1927,168.8643,60.01,57,100,5.99,NZ,2021-01-18 01:15:30,moderate rain
9,Bredasdorp,-34.5322,20.0403,64.4,88,16,5.75,ZA,2021-01-18 01:15:30,few clouds
10,Porbandar,21.6422,69.6093,63.12,59,0,7.63,IN,2021-01-18 01:15:30,clear sky
11,The Valley,18.217,-63.0578,78.8,78,75,9.22,AI,2021-01-18 01:15:30,broken clouds
12,Tuktoyaktuk,69.4541,-133.0374,-4.0,84,75,11.5,CA,2021-01-18 01:15:30,broken clouds
13,Surt,31.2089,16.5887,55.42,68,5,18.43,LY,2021-01-18 01:15:30,clear sky
14,Punta Arenas,-53.15,-70.9167,53.6,66,0,31.07,CL,2021-01-18 01:15:30,clear sky
15,Fairbanks,64.8378,-147.7164,3.2,92,1,2.26,US,2021-01-18 01:15:18,clear sky
16,Kahului,20.8947,-156.47,75.2,83,75,4.61,US,2021-01-18 01:15:30,moderate rain
17,Jamestown,42.097,-79.2353,32.0,93,90,11.5,US,2021-01-18 01:15:31,light snow
18,Haines Junction,60.7522,-137.5108,35.6,69,29,4.61,CA,2021-01-18 01:15:31,moderate rain
19,Kapaa,22.0752,-159.319,80.6,65,75,17.27,US,2021-01-18 01:15:31,light rain
20,Adeje,28.1227,-16.726,61.0,63,20,11.5,ES,2021-01-18 01:11:41,few clouds
21,Esperance,-33.8667,121.9,68.0,60,0,12.66,AU,2021-01-18 01:11:09,clear sky
22,Acarau,-2.8856,-40.12,80.2,78,100,12.95,BR,2021-01-18 01:15:31,overcast clouds
23,Airai,-8.9266,125.4092,64.15,100,100,1.48,TL,2021-01-18 01:15:31,overcast clouds
24,Kishtwar,33.3167,75.7667,38.93,59,0,4.72,IN,2021-01-18 01:15:31,clear sky
25,Saint-Philippe,-21.3585,55.7679,77.0,69,0,4.61,RE,2021-01-18 01:12:15,light rain
26,Ladario,-19.0047,-57.6017,75.87,94,100,2.26,BR,2021-01-18 01:12:19,heavy intensity rain
27,Porangatu,-13.4408,-49.1486,72.09,89,100,2.77,BR,2021-01-18 01:15:32,overcast clouds
28,Sola,-13.8833,167.55,89.6,74,75,6.91,VU,2021-01-18 01:13:01,broken clouds
29,Ilulissat,69.2167,-51.1,19.4,86,75,11.5,GL,2021-01-18 01:15:32,light snow
30,Mildura,-34.2,142.15,73.4,25,0,8.05,AU,2021-01-18 01:14:14,clear sky
31,Pecos,31.4229,-103.4932,51.8,30,1,8.05,US,2021-01-18 01:15:32,clear sky
32,Ahipara,-35.1667,173.1667,68.94,54,4,10.38,NZ,2021-01-18 01:15:32,clear sky
33,Vaini,-21.2,-175.2,87.8,74,75,11.5,TO,2021-01-18 01:15:32,broken clouds
34,Zhigansk,66.7697,123.3711,-48.41,77,54,4.63,RU,2021-01-18 01:15:32,broken clouds
35,Buala,-8.145,159.5921,84.61,74,71,9.51,SB,2021-01-18 01:15:32,light rain
36,Nikolskoye,59.7035,30.7861,19.0,93,75,4.47,RU,2021-01-18 01:15:33,snow
37,Komsomolskiy,40.4272,71.7189,30.2,80,100,6.91,UZ,2021-01-18 01:15:33,mist
38,Rabat,33.9911,-6.8401,42.8,100,0,3.44,MA,2021-01-18 01:15:33,mist
39,Tramagal,39.45,-8.25,39.99,86,100,2.91,PT,2021-01-18 01:15:33,overcast clouds
40,Lebu,-37.6167,-73.65,57.09,83,0,21.43,CL,2021-01-18 01:15:33,clear sky
41,Hermanus,-34.4187,19.2345,66.99,80,0,7.0,ZA,2021-01-18 01:13:02,clear sky
42,Lac Du Bonnet,50.2536,-96.0612,7.0,83,87,5.01,CA,2021-01-18 01:15:33,overcast clouds
43,Faanui,-16.4833,-151.75,82.08,73,0,13.89,PF,2021-01-18 01:15:33,clear sky
44,Busselton,-33.65,115.3333,81.0,38,0,7.0,AU,2021-01-18 01:15:33,clear sky
45,Lerwick,60.1545,-1.1494,42.8,81,20,21.85,GB,2021-01-18 01:15:34,light rain
46,Cape Town,-33.9258,18.4232,69.01,73,0,9.22,ZA,2021-01-18 01:12:50,clear sky
47,Georgetown,5.4112,100.3354,78.8,69,20,5.75,MY,2021-01-18 01:13:33,few clouds
48,Provideniya,64.3833,-173.3,1.4,71,90,13.42,RU,2021-01-18 01:15:34,light snow
49,Bluff,-46.6,168.3333,60.01,57,95,5.99,NZ,2021-01-18 01:15:34,overcast clouds
50,Hovd,48.0056,91.6419,0.63,79,0,0.65,MN,2021-01-18 01:15:34,clear sky
51,Salem,11.65,78.1667,68.0,77,20,4.54,IN,2021-01-18 01:15:34,haze
52,Krasnyy Kholm,58.0607,37.1203,-2.33,93,99,5.7,RU,2021-01-18 01:15:34,overcast clouds
53,Kulunda,52.566,78.9385,16.32,93,100,12.39,RU,2021-01-18 01:15:34,overcast clouds
54,Kuah,6.3265,99.8432,82.4,61,20,9.22,MY,2021-01-18 01:15:35,few clouds
55,Klaksvik,62.2266,-6.589,33.8,100,75,4.61,FO,2021-01-18 01:15:35,broken clouds
56,Noumea,-22.2763,166.4572,86.0,70,90,8.05,NC,2021-01-18 01:15:35,overcast clouds
57,Karratha,-20.7377,116.8463,96.1,41,30,9.89,AU,2021-01-18 01:15:35,scattered clouds
58,Celestun,20.8667,-90.4,68.4,68,100,14.81,MX,2021-01-18 01:15:35,overcast clouds
59,Ancud,-41.8697,-73.8203,55.4,82,0,3.44,CL,2021-01-18 01:15:35,clear sky
60,Macabugos,13.2362,123.3053,79.32,79,100,6.31,PH,2021-01-18 01:15:35,overcast clouds
61,East London,-33.0153,27.9116,69.76,71,98,4.61,ZA,2021-01-18 01:15:35,overcast clouds
62,Tasiilaq,65.6145,-37.6368,23.0,63,0,4.61,GL,2021-01-18 01:15:35,clear sky
63,Butaritari,3.0707,172.7902,80.69,77,92,19.13,KI,2021-01-18 01:15:36,overcast clouds
64,Valparaiso,-33.0393,-71.6273,59.0,94,0,3.44,CL,2021-01-18 01:11:09,clear sky
65,Monrovia,6.3005,-10.7969,73.4,100,40,7.34,LR,2021-01-18 01:11:52,mist
66,Xai-Xai,-25.0519,33.6442,76.57,85,100,13.82,MZ,2021-01-18 01:15:36,light rain
67,Cabo San Lucas,22.8909,-109.9124,73.4,56,1,5.77,MX,2021-01-18 01:15:36,clear sky
68,Kodiak,57.79,-152.4072,37.4,75,90,12.66,US,2021-01-18 01:15:36,overcast clouds
69,Dikson,73.5069,80.5464,-23.55,84,34,18.21,RU,2021-01-18 01:15:36,scattered clouds
70,Lieksa,63.3167,30.0167,21.54,96,98,9.19,FI,2021-01-18 01:15:36,overcast clouds
71,Kazachinskoye,57.6953,93.2761,9.09,95,100,5.66,RU,2021-01-18 01:15:36,overcast clouds
72,Vanimo,-2.6741,141.3028,83.28,78,100,8.7,PG,2021-01-18 01:15:37,moderate rain
73,Mehamn,71.0357,27.8492,33.35,93,100,16.46,NO,2021-01-18 01:15:37,light snow
74,Bodaybo,57.8506,114.1933,-44.41,68,65,2.33,RU,2021-01-18 01:15:37,broken clouds
75,Tavda,58.0425,65.2726,-10.66,90,0,5.59,RU,2021-01-18 01:13:29,clear sky
76,Uozu,36.8,137.4,37.99,81,40,2.3,JP,2021-01-18 01:15:37,scattered clouds
77,Sao Joao Do Paraiso,-15.3136,-42.0144,64.06,92,0,6.35,BR,2021-01-18 01:15:37,clear sky
78,Mar Del Plata,-38.0023,-57.5575,62.6,77,75,9.22,AR,2021-01-18 01:11:31,broken clouds
79,Codrington,-38.2667,141.9667,61.14,72,98,15.05,AU,2021-01-18 01:15:37,overcast clouds
80,San Rafael,-34.6177,-68.3301,75.42,24,0,11.05,AR,2021-01-18 01:15:38,clear sky
81,Bosaso,11.2842,49.1816,72.59,72,0,0.76,SO,2021-01-18 01:15:38,clear sky
82,Comodoro Rivadavia,-45.8667,-67.5,78.8,36,0,17.27,AR,2021-01-18 01:15:38,clear sky
83,Carnarvon,-24.8667,113.6333,86.0,74,97,4.61,AU,2021-01-18 01:15:38,overcast clouds
84,Rosarito,32.3333,-117.0333,75.2,15,1,5.75,MX,2021-01-18 01:15:38,clear sky
85,Kieta,-6.2167,155.6333,84.97,70,35,8.25,PG,2021-01-18 01:15:38,light rain
86,Puerto Ayora,-0.7393,-90.3518,75.99,93,19,1.99,EC,2021-01-18 01:13:23,few clouds
